Area_Code,European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
7000000,21,126,9,3,0,0,0,0,141,0,141
7000001,27,93,15,0,0,0,0,0,114,0,114
7000002,C,C,C,C,C,C,C,C,C,C,0
7000003,51,207,21,3,0,0,0,0,225,0,225
7000004,54,99,6,3,0,0,0,0,138,0,138
7000005,84,102,12,0,0,0,0,0,174,0,174
7000006,81,42,3,3,0,3,3,0,105,0,105
7000007,180,102,9,9,0,9,9,0,240,0,240
7000008,171,90,3,0,0,0,0,0,228,0,228
7000009,105,33,6,0,3,3,3,0,120,0,120
7000010,C,C,C,C,C,C,C,C,C,C,0
7000011,96,42,3,0,0,3,3,0,120,0,120
7000012,C,C,C,C,C,C,C,C,C,C,0
7000013,C,C,C,C,C,C,C,C,C,C,0
7000014,C,C,C,C,C,C,C,C,C,C,0
7000015,C,C,C,C,C,C,C,C,C,C,0
7000016,C,C,C,C,C,C,C,C,C,C,0
7000017,C,C,C,C,C,C,C,C,C,C,0
7000018,42,0,0,0,0,0,0,0,42,0,42
7000019,192,117,9,0,3,6,3,3,243,0,243
7000020,123,75,3,0,0,0,0,0,156,0,156
7000021,147,105,6,9,0,0,0,0,204,0,204
7000022,123,132,3,3,0,6,6,0,186,0,186
7000023,105,72,9,3,0,3,0,0,153,0,153
7000024,114,129,6,15,0,0,0,0,186,0,186
7000025,54,99,9,0,0,0,0,0,108,0,108
7000026,51,48,3,6,0,3,3,0,90,0,90
7000027,93,153,15,0,0,6,3,6,204,0,204
7000028,117,78,12,0,0,0,0,0,162,0,162
7000029,120,99,6,3,0,3,3,0,177,0,177
7000030,150,114,12,3,0,3,3,0,207,0,207
7000031,126,177,12,9,0,6,3,0,237,0,237
7000032,156,84,12,3,3,6,6,0,198,0,198
7000033,96,57,3,3,0,0,0,0,138,0,138
7000034,93,45,3,3,0,0,0,0,126,0,126
7000035,198,78,12,6,0,9,6,0,237,0,237
7000036,159,51,3,0,0,3,3,0,183,0,183
7000037,36,63,3,0,3,0,0,0,87,0,87
7000038,63,87,27,3,3,3,3,3,141,0,141
7000039,66,90,9,0,0,3,0,3,138,0,138
7000040,129,69,0,3,0,3,3,0,171,0,171
7000041,123,24,0,3,0,0,0,0,132,0,132
7000042,180,102,9,12,0,6,3,0,240,0,240
7000043,225,147,9,9,0,6,6,0,321,0,321
7000044,207,150,9,9,0,6,6,0,312,0,312
7000045,120,57,6,3,0,0,0,0,159,0,159
7000046,132,63,6,3,0,3,3,0,171,0,171
7000047,108,39,3,6,0,3,3,0,138,0,138
7000048,75,18,0,6,0,3,3,0,90,0,90
7000049,198,99,15,3,6,6,6,0,255,0,255
7000050,123,57,6,3,3,3,3,3,171,0,171
7000051,147,45,9,3,0,0,0,0,174,0,174
7000052,132,33,3,3,0,3,3,0,147,0,147
7000053,90,42,3,3,0,3,3,0,108,0,108
7000054,159,105,30,6,3,3,3,0,246,0,246
7000055,132,54,9,6,3,3,3,0,171,0,171
7000056,87,27,3,3,0,3,3,0,108,0,108
7000057,90,24,3,6,0,3,3,0,108,0,108
7000058,93,24,0,0,0,0,0,0,108,0,108
7000059,168,54,6,6,0,6,3,0,204,0,204
7000060,108,96,12,3,0,0,0,0,165,0,165
7000061,102,9,0,6,0,3,3,3,114,0,114
7000062,78,21,0,3,0,0,0,0,90,0,90
7000063,114,60,0,3,0,3,3,0,141,0,141
7000064,C,C,C,C,C,C,C,C,C,C,0
7000065,141,90,6,3,0,0,0,0,189,0,189
7000066,90,39,0,0,0,0,0,0,108,0,108
7000067,54,96,3,0,0,0,0,0,129,0,129
7000068,165,60,6,3,0,0,0,0,180,0,180
7000069,126,21,3,3,0,3,3,0,144,0,144
7000070,144,78,6,3,0,0,0,0,192,0,192
7000071,105,102,9,3,0,6,6,0,192,0,192
7000072,57,108,9,0,0,0,0,0,132,0,132
7000073,87,84,9,0,0,0,0,0,141,0,141
7000074,87,42,0,3,0,3,0,0,117,0,117
7000075,87,180,9,3,0,3,3,0,225,0,225
7000076,66,177,12,9,0,0,0,0,201,0,201
7000077,84,174,9,0,3,3,3,0,216,0,216
7000078,132,90,0,3,0,0,0,0,180,0,180
7000079,114,75,9,0,0,0,0,0,159,0,159
7000080,108,54,9,3,3,3,3,0,126,0,126
7000081,57,144,9,0,0,3,3,0,165,0,165
7000082,144,93,6,3,0,0,0,0,180,0,180
7000083,78,51,3,3,0,3,3,0,108,0,108
7000084,87,111,9,6,3,0,0,0,174,0,174
7000085,123,132,18,12,3,0,0,0,216,0,216
7000086,84,117,18,0,0,0,0,0,159,0,159
7000087,66,84,6,3,0,0,0,0,108,0,108
7000088,135,180,24,24,3,0,0,0,273,0,273
7000089,90,180,21,3,0,3,3,0,219,0,219
7000090,78,180,18,0,0,0,0,0,210,0,210
7000091,72,135,24,6,0,3,3,0,168,0,168
7000092,54,132,9,3,0,0,0,0,147,0,147
7000093,60,105,21,3,0,0,0,0,132,0,132
7000094,60,141,12,3,0,0,0,0,171,0,171
7000095,93,162,18,18,0,0,0,0,204,0,204
7000096,72,171,12,15,3,0,0,0,207,0,207
7000097,90,114,18,9,0,0,0,0,171,0,171
7000098,54,147,12,6,0,0,0,0,162,0,162
7000099,51,78,3,9,0,0,0,0,111,0,111
7000100,84,156,12,0,0,0,0,0,204,0,204
7000101,90,93,9,3,6,0,0,0,159,0,159
7000102,45,78,9,0,0,0,0,0,111,0,111
7000103,48,84,0,12,0,0,0,0,120,0,120
7000104,123,135,21,36,0,6,6,0,267,0,267
7000105,78,123,9,3,3,0,0,0,171,0,171
7000106,108,126,21,9,0,3,3,0,222,0,222
7000107,90,162,24,0,0,0,0,0,213,0,213
7000108,63,39,6,3,3,3,3,0,96,0,96
7000109,114,78,21,24,0,6,3,3,177,0,177
7000110,93,78,12,18,0,0,0,0,162,0,162
7000111,87,72,15,3,0,0,0,0,129,0,129
7000112,108,120,9,15,6,6,0,3,189,0,189
7000113,66,93,15,6,3,0,0,0,129,0,129
7000114,138,81,6,9,0,3,3,0,207,0,207
7000115,111,102,15,12,0,9,6,3,165,0,165
7000116,204,81,18,39,3,0,0,0,306,0,306
7000117,90,57,6,3,0,0,0,0,129,0,129
7000118,117,54,9,6,0,3,3,0,141,0,141
7000119,111,63,9,3,0,0,0,0,156,0,156
7000120,117,90,6,6,0,3,3,0,168,0,168
7000121,123,75,3,0,0,6,0,3,165,0,165
7000122,135,60,3,0,0,6,6,0,177,0,177
7000123,81,120,3,3,0,3,0,0,174,0,174
7000124,102,54,6,6,0,3,3,0,126,0,126
7000125,126,78,6,6,0,6,6,0,183,0,183
7000126,150,117,6,9,0,9,6,3,234,0,234
7000127,156,90,3,3,3,3,3,0,204,0,204
7000128,156,45,3,3,0,3,3,0,186,0,186
7000129,105,90,6,0,0,3,3,0,156,0,156
7000130,84,27,6,0,0,6,6,0,102,0,102
7000131,105,123,3,3,0,3,3,0,198,0,198
7000132,102,168,21,0,0,0,0,0,228,0,228
7000133,213,60,3,0,0,3,3,0,237,0,237
7000134,168,138,15,3,0,3,3,0,270,0,270
7000135,129,30,0,3,0,0,0,0,138,0,138
7000136,90,117,12,0,0,0,0,0,183,0,183
7000137,105,102,6,3,6,3,0,3,186,0,186
7000138,162,24,3,3,0,3,3,0,180,0,180
7000139,231,51,6,3,3,0,0,0,255,0,255
7000140,165,30,3,3,3,0,0,0,174,0,174
7000141,171,15,3,9,0,9,9,3,189,0,189
7000142,135,90,0,3,0,0,0,0,201,0,201
7000143,156,111,3,6,3,0,0,0,210,0,210
7000144,183,114,18,6,6,3,3,0,243,0,243
7000145,126,105,12,0,3,0,0,0,192,0,192
7000146,87,102,21,3,0,3,3,0,153,0,153
7000147,81,123,6,9,0,0,0,0,165,0,165
7000148,114,198,15,6,3,3,3,0,267,0,267
7000149,51,117,3,0,0,3,3,0,144,0,144
7000150,39,57,12,0,3,0,0,0,84,0,84
7000151,39,69,12,0,3,0,0,0,96,0,96
7000152,66,42,0,0,0,0,0,0,90,0,90
7000153,165,75,0,3,0,0,0,0,216,0,216
7000154,138,84,9,6,3,0,0,0,189,0,189
7000155,120,60,6,0,3,3,3,0,147,0,147
7000156,147,108,9,3,0,6,6,0,222,0,222
7000157,54,138,9,0,0,0,0,0,159,0,159
7000158,87,204,15,12,0,3,3,0,264,0,264
7000159,72,111,6,0,0,3,0,0,153,0,153
7000160,84,81,0,3,0,0,0,0,135,0,135
7000161,93,48,3,0,0,3,3,0,123,0,123
7000162,144,18,3,3,0,3,3,0,147,0,147
7000163,102,6,3,6,0,3,3,0,108,0,108
7000164,150,36,3,3,0,3,0,3,162,0,162
7000165,165,39,6,0,0,3,3,0,192,0,192
7000166,111,9,0,6,0,6,6,0,126,0,126
7000167,198,36,9,9,3,0,0,0,219,0,219
7000168,162,27,3,9,0,0,0,0,183,0,183
7000169,171,39,12,12,0,3,3,0,189,0,189
7000170,231,63,6,6,0,0,0,0,255,0,255
7000171,135,24,6,6,0,3,3,0,144,0,144
7000172,114,81,9,18,6,0,0,0,174,0,174
7000173,144,18,3,3,3,3,0,3,156,0,156
7000174,111,30,6,0,3,6,3,3,123,0,123
7000175,90,12,0,3,0,0,0,0,99,0,99
7000176,93,21,6,0,0,0,0,0,105,0,105
7000177,180,30,0,6,3,3,3,0,198,0,198
7000178,192,33,3,12,0,6,6,0,210,0,210
7000179,207,39,6,3,0,0,0,0,216,0,216
7000180,93,63,6,3,0,3,3,0,144,0,144
7000181,99,33,6,0,0,0,0,0,114,0,114
7000182,30,156,3,0,0,0,0,0,171,0,171
7000183,51,114,18,3,0,3,0,3,138,0,138
7000184,51,93,9,0,0,3,0,3,123,0,123
7000185,30,126,6,0,0,0,0,0,138,0,138
7000186,45,132,15,0,0,3,3,0,153,0,153
7000187,72,84,12,3,0,0,0,0,132,0,132
7000188,15,156,18,0,0,0,0,0,165,0,165
7000189,15,84,6,0,0,0,0,0,96,0,96
7000190,78,78,9,6,0,0,0,0,135,0,135
7000191,24,99,0,0,0,0,0,0,111,0,111
7000192,45,90,6,3,0,3,3,0,123,0,123
7000193,99,108,30,12,3,3,3,0,177,0,177
7000194,99,48,9,3,0,0,0,0,123,0,123
7000195,126,63,3,6,0,0,0,0,168,0,168
7000196,99,24,3,0,0,0,0,0,114,0,114
7000197,90,75,12,3,0,3,3,0,153,0,153
7000198,96,93,12,3,0,0,0,0,171,0,171
7000199,72,81,15,3,0,6,3,3,147,0,147
7000200,177,84,0,0,0,0,0,0,219,0,219
7000201,C,C,C,C,C,C,C,C,C,C,0
7000202,192,60,6,0,0,3,3,0,213,0,213
7000203,69,18,0,0,0,6,6,0,78,0,78
7000204,108,45,0,0,0,3,3,0,144,0,144
7000205,204,42,0,6,0,6,3,0,219,0,219
7000206,135,54,3,6,0,0,0,0,174,0,174
7000207,144,21,0,3,3,0,0,0,150,0,150
7000208,171,66,3,3,0,3,0,3,213,0,213
7000209,153,141,12,0,0,6,6,0,249,0,249
7000210,84,84,0,3,3,0,0,0,138,0,138
7000211,192,45,12,6,0,3,3,0,222,0,222
7000212,183,24,3,0,3,3,3,0,192,0,192
7000213,231,24,6,6,0,6,6,0,249,0,249
7000214,99,66,15,3,0,3,3,0,150,0,150
7000215,147,15,6,9,3,0,3,0,159,0,159
7000216,111,21,6,0,3,3,3,0,123,0,123
7000217,156,45,12,6,6,3,3,0,186,0,186
7000218,129,42,3,6,6,3,3,0,159,0,159
7000219,132,69,3,0,0,3,3,0,180,0,180
7000220,210,39,3,9,0,3,3,0,237,0,237
7000221,180,15,9,15,0,3,6,0,204,0,204
7000222,129,30,3,3,0,0,0,0,135,0,135
7000223,147,15,3,0,0,0,0,0,153,0,153
7000224,249,27,6,9,0,0,0,0,264,0,264
7000225,141,24,3,18,0,3,3,0,171,0,171
7000226,177,36,12,9,3,0,0,0,195,0,195
7000227,96,12,9,9,3,0,0,0,105,0,105
7000228,96,48,15,12,3,0,0,0,135,0,135
7000229,198,78,9,12,0,3,0,0,249,0,249
7000230,96,90,27,3,9,3,0,3,174,0,174
7000231,135,21,15,18,3,0,0,0,168,0,168
7000232,168,24,6,15,6,0,0,0,195,0,195
7000233,114,3,0,18,9,0,0,0,138,0,138
7000234,126,15,6,6,6,0,0,0,138,0,138
7000235,138,12,0,0,6,0,0,0,147,0,147
7000236,168,21,0,9,3,3,3,0,186,0,186
7000237,132,15,0,9,0,0,0,0,147,0,147
7000238,117,39,15,15,0,0,0,0,156,0,156
7000239,198,21,0,3,0,3,3,0,213,0,213
7000240,300,72,24,54,3,3,0,3,399,0,399
7000241,126,75,12,12,3,3,3,0,189,0,189
