sa2id,district,sa2,eth.mpao,agegrp,sex,popyear,popcount,type,dateload,daterecd
110300,Unknown,Inlet Kaipara Harbour South,Asian,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
110300,Unknown,Inlet Kaipara Harbour South,Other,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
110300,Unknown,Inlet Kaipara Harbour South,Maori,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
110300,Unknown,Inlet Kaipara Harbour South,Pacific,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
110600,Unknown,Oceanic Auckland Region East,Asian,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
110600,Unknown,Oceanic Auckland Region East,Other,AllAge,AllSex,2022,10,Projections (as at 30 Jun),3/03/2025,20/01/2025
110600,Unknown,Oceanic Auckland Region East,Maori,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
110600,Unknown,Oceanic Auckland Region East,Pacific,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
111000,Unknown,Oceanic Auckland Region West,Asian,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
111000,Unknown,Oceanic Auckland Region West,Other,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
111000,Unknown,Oceanic Auckland Region West,Maori,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
111000,Unknown,Oceanic Auckland Region West,Pacific,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
112000,Unknown,Inlets other Auckland,Asian,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
112000,Unknown,Inlets other Auckland,Other,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
112000,Unknown,Inlets other Auckland,Maori,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
112000,Unknown,Inlets other Auckland,Pacific,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
119300,Unknown,Inlet Waitemata Harbour,Asian,AllAge,AllSex,2022,30,Projections (as at 30 Jun),3/03/2025,20/01/2025
119300,Unknown,Inlet Waitemata Harbour,Other,AllAge,AllSex,2022,30,Projections (as at 30 Jun),3/03/2025,20/01/2025
119300,Unknown,Inlet Waitemata Harbour,Maori,AllAge,AllSex,2022,10,Projections (as at 30 Jun),3/03/2025,20/01/2025
119300,Unknown,Inlet Waitemata Harbour,Pacific,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
120300,Unknown,West Harbour Clearwater Cove,Asian,AllAge,AllSex,2022,10,Projections (as at 30 Jun),3/03/2025,20/01/2025
120300,Unknown,West Harbour Clearwater Cove,Other,AllAge,AllSex,2022,50,Projections (as at 30 Jun),3/03/2025,20/01/2025
120300,Unknown,West Harbour Clearwater Cove,Maori,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
120300,Unknown,West Harbour Clearwater Cove,Pacific,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
129400,Unknown,Bayswater,Asian,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
129400,Unknown,Bayswater,Other,AllAge,AllSex,2022,10,Projections (as at 30 Jun),3/03/2025,20/01/2025
129400,Unknown,Bayswater,Maori,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
129400,Unknown,Bayswater,Pacific,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
130200,Unknown,Saint Marys Bay,Asian,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
130200,Unknown,Saint Marys Bay,Other,AllAge,AllSex,2022,20,Projections (as at 30 Jun),3/03/2025,20/01/2025
130200,Unknown,Saint Marys Bay,Maori,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
130200,Unknown,Saint Marys Bay,Pacific,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
141400,Unknown,Inlet Manukau Harbour,Asian,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
141400,Unknown,Inlet Manukau Harbour,Other,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
141400,Unknown,Inlet Manukau Harbour,Maori,AllAge,AllSex,2022,0,Projections (as at 30 Jun),3/03/2025,20/01/2025
