Statistical area 2 code (2018 areas),European,Māori,Pacific Peoples,Asian,Middle Eastern / Latin American / African,Other Ethnicity,New Zealander(19),Other Ethnicity nec(19),Total stated,Not Elsewhere Included, Total
100100,867,933,81,24,3,18,18,0,1602,0,1602
100200,1509,1401,108,51,3,36,27,12,2310,0,2310
100300,45,0,0,0,0,0,0,0,45,0,45
100400,870,555,72,18,3,21,18,6,1251,0,1251
100500,711,675,48,12,9,15,15,0,1134,0,1134
100600,747,753,72,24,18,9,9,0,1230,0,1230
100700,1158,1602,162,135,12,21,18,3,2388,0,2388
100800,1770,2268,300,171,15,24,15,9,3483,0,3483
100900,636,459,36,21,0,12,9,6,936,0,936
101000,624,351,33,18,6,18,18,0,846,0,846
101100,1725,672,99,66,9,30,24,6,2193,0,2193
101200,618,504,39,9,6,9,9,0,963,0,963
101300,822,444,33,30,3,27,24,3,1107,0,1107
101400,657,342,18,27,0,15,9,0,867,0,867
101500,567,348,18,12,0,6,3,0,744,0,744
101600,201,684,60,6,0,3,3,0,795,0,795
101700,450,387,57,24,3,9,9,0,726,0,726
101800,762,792,57,24,3,15,12,3,1344,0,1344
101900,777,606,51,9,0,15,12,0,1191,0,1191
102000,537,687,39,18,0,6,6,0,1056,0,1056
102100,648,780,78,18,3,15,6,6,1236,0,1236
102200,1947,354,57,69,6,30,24,6,2133,0,2133
102300,933,459,57,15,0,18,12,3,1236,0,1236
102400,1185,459,33,18,12,15,12,3,1506,0,1506
102500,750,207,24,39,9,9,9,0,870,0,870
102600,1503,276,45,42,18,24,24,0,1677,0,1677
102700,351,903,96,30,3,0,0,0,1095,0,1095
102800,1923,306,45,66,21,15,12,3,2109,0,2109
102900,714,696,45,24,3,6,3,3,1215,0,1215
103000,1953,582,129,180,30,12,9,3,2502,0,2502
103100,2316,360,57,105,21,24,15,9,2553,0,2553
103200,819,480,33,15,3,15,12,3,1140,0,1140
103300,1143,333,12,33,6,15,12,3,1335,0,1335
103400,771,1275,129,48,6,24,15,6,1797,0,1797
103500,1503,3477,372,177,9,33,21,12,4437,0,4437
103600,534,228,6,0,0,9,9,0,666,0,666
103700,852,279,48,42,21,6,6,0,1077,0,1077
103800,660,153,9,15,3,9,9,0,762,0,762
103900,1044,534,54,99,18,12,9,3,1512,0,1512
104000,228,357,27,12,0,6,6,0,507,0,507
104100,666,894,63,18,3,12,12,0,1374,0,1374
104200,549,78,0,21,6,9,3,0,606,0,606
104300,972,198,33,42,9,18,15,3,1137,0,1137
104400,324,459,39,6,3,6,3,6,690,0,690
104500,372,1476,108,18,3,0,0,0,1632,0,1632
104600,609,1080,120,66,0,15,9,6,1464,0,1464
104700,573,354,33,18,18,9,9,0,774,0,774
104800,1377,789,60,30,9,24,15,9,1923,0,1923
104900,1944,900,81,27,12,27,24,6,2520,0,2520
105000,9,C,C,C,C,C,C,C,9,C,9
105100,2703,471,54,78,12,63,60,3,2979,0,2979
105200,1098,807,81,48,3,27,15,12,1617,0,1617
105300,1602,300,36,33,6,27,15,6,1746,0,1746
105400,3093,660,42,102,18,57,51,6,3477,0,3477
105500,1845,561,75,93,27,15,12,3,2205,0,2205
105600,1512,300,42,30,15,21,18,0,1692,0,1692
105700,846,225,33,21,0,9,9,0,993,0,993
105800,1860,1284,171,213,21,36,27,9,2871,0,2871
105900,2496,639,69,258,12,36,30,6,3099,0,3099
106000,1356,537,87,75,0,21,18,3,1680,0,1680
106100,2169,732,105,204,27,42,33,9,2799,0,2799
106200,1974,1329,216,99,18,33,27,6,3003,0,3003
106300,1806,228,24,141,21,21,24,0,2040,0,2040
106400,636,1653,234,36,6,15,9,6,2109,0,2109
106500,2847,1560,216,132,18,42,36,6,3903,0,3903
106600,2439,888,138,267,12,36,27,9,3240,0,3240
106700,1224,210,21,42,3,12,9,3,1329,0,1329
106800,1914,672,90,165,12,30,24,6,2475,0,2475
106900,2385,672,75,507,24,51,30,18,3276,0,3276
107000,1836,906,156,423,15,36,24,12,2847,0,2847
107100,585,267,57,138,9,12,12,0,954,0,954
107200,1713,582,84,72,12,30,27,6,2085,0,2085
107300,1728,1944,219,150,15,33,27,6,3330,0,3330
107400,1011,1233,147,108,15,15,9,6,1962,0,1962
107500,1542,1023,132,177,3,30,27,3,2340,0,2340
107600,1020,210,27,30,12,21,21,0,1164,0,1164
107700,1116,408,51,27,6,15,15,0,1338,0,1338
107800,2079,432,51,36,3,45,39,6,2310,0,2310
107900,66,27,3,15,0,3,0,3,102,0,102
108000,1434,255,27,18,9,36,30,3,1584,0,1584
108100,1311,294,51,111,9,15,12,3,1584,0,1584
108200,1833,813,87,84,21,36,24,12,2457,0,2457
108300,1812,849,132,81,9,39,30,9,2457,0,2457
108400,9,C,C,C,C,C,C,C,12,C,12
108500,2223,372,48,63,12,30,27,3,2460,0,2460
108600,1815,441,63,51,9,27,21,9,2073,0,2073
108700,1911,426,69,87,9,36,30,9,2208,0,2208
108800,2010,876,123,93,6,15,15,0,2586,0,2586
108900,1311,177,30,30,12,12,9,0,1392,0,1392
109000,2508,393,51,72,15,30,30,0,2715,0,2715
109100,2922,1122,114,108,12,60,51,6,3690,0,3690
109200,1653,384,51,30,3,15,12,3,1800,0,1800
109300,3387,1710,354,210,12,54,48,6,4794,0,4794
109400,2091,639,60,24,12,30,30,0,2436,0,2436
109500,1554,291,42,24,3,21,18,3,1713,0,1713
109600,1089,297,36,30,0,12,12,0,1269,0,1269
109700,1689,561,75,75,18,39,33,6,2139,0,2139
109800,1968,249,60,39,12,36,30,6,2100,0,2100
109900,1818,231,51,78,12,15,15,3,1995,0,1995
110000,C,C,C,C,C,C,C,C,C,C,0
110100,876,132,21,27,6,6,9,0,936,0,936
110200,1317,306,48,48,3,12,12,3,1491,0,1491
110300,C,C,C,C,C,C,C,C,C,C,0
110400,3249,543,123,69,36,57,54,3,3525,0,3525
110500,1533,471,102,117,9,24,15,6,1929,0,1929
110600,9,C,C,C,C,C,C,C,9,C,9
110700,2277,483,102,75,18,36,36,3,2595,0,2595
110800,1722,363,33,57,3,33,24,9,1965,0,1965
110900,1434,129,27,60,12,15,12,3,1530,0,1530
111000,C,C,C,C,C,C,C,C,C,C,0
111100,2241,237,132,84,12,18,15,3,2481,0,2481
111200,3447,261,90,105,24,72,60,9,3702,0,3702
111300,2592,285,240,231,30,42,27,12,3105,0,3105
111400,924,33,21,12,3,18,18,3,969,0,969
111500,1866,129,39,30,9,18,18,0,1962,0,1962
111600,2319,279,60,66,18,39,27,6,2484,0,2484
111700,3090,366,171,111,30,36,36,3,3405,0,3405
111800,849,192,24,12,0,18,15,0,930,0,930
111900,1107,75,24,51,3,15,15,3,1185,0,1185
112000,12,C,C,C,C,C,C,C,12,C,12
112100,1557,150,33,63,15,9,9,0,1674,0,1674
112200,870,264,72,72,6,21,15,9,1098,0,1098
112300,1428,177,45,42,9,12,9,3,1524,0,1524
112400,2358,567,213,117,9,27,27,0,2787,0,2787
