case_date,case_weekday,case_week_ending,deprivation_lmm,cases,cases_per_100k,cases_mean7,cases_per_100k_mean7
2024-07-15,Monday,2024-07-21,Least deprived,135,8.9175,97.1429,6.4168
2024-07-15,Monday,2024-07-21,Mid-range deprivation,171,8.5279,125.1429,6.2409
2024-07-15,Monday,2024-07-21,Most deprived,127,8.095,93.7143,5.9733
2024-07-14,Sunday,2024-07-14,Least deprived,87,5.7468,98.5714,6.5112
2024-07-14,Sunday,2024-07-14,Mid-range deprivation,94,4.6878,125.5714,6.2623
2024-07-14,Sunday,2024-07-14,Most deprived,49,3.1233,96,6.119
2024-07-13,Saturday,2024-07-14,Least deprived,50,3.3028,99.1429,6.5489
2024-07-13,Saturday,2024-07-14,Mid-range deprivation,76,3.7902,126.5714,6.3122
2024-07-13,Saturday,2024-07-14,Most deprived,44,2.8046,98.5714,6.2829
2024-07-12,Friday,2024-07-14,Least deprived,73,4.822,103.8571,6.8603
2024-07-12,Friday,2024-07-14,Mid-range deprivation,117,5.8349,129.8571,6.476
2024-07-12,Friday,2024-07-14,Most deprived,97,6.1828,101.7143,6.4833
2024-07-11,Thursday,2024-07-14,Least deprived,90,5.945,107.4286,7.0962
2024-07-11,Thursday,2024-07-14,Mid-range deprivation,120,5.9845,135,6.7325
2024-07-11,Thursday,2024-07-14,Most deprived,105,6.6927,100,6.374
2024-07-10,Wednesday,2024-07-14,Least deprived,119,7.8606,115.1429,7.6058
2024-07-10,Wednesday,2024-07-14,Mid-range deprivation,162,8.079,135.8571,6.7753
2024-07-10,Wednesday,2024-07-14,Most deprived,127,8.095,100.4286,6.4013
2024-07-09,Tuesday,2024-07-14,Least deprived,126,8.323,120,7.9267
2024-07-09,Tuesday,2024-07-14,Mid-range deprivation,136,6.7824,134.2857,6.6969
2024-07-09,Tuesday,2024-07-14,Most deprived,107,6.8202,100.8571,6.4286
2024-07-08,Monday,2024-07-14,Least deprived,145,9.578,124.2857,8.2097
2024-07-08,Monday,2024-07-14,Mid-range deprivation,174,8.6775,139.4286,6.9534
2024-07-08,Monday,2024-07-14,Most deprived,143,9.1148,102.8571,6.5561
2024-07-07,Sunday,2024-07-07,Least deprived,91,6.011,131.8571,8.7099
2024-07-07,Sunday,2024-07-07,Mid-range deprivation,101,5.0369,147.1429,7.3381
2024-07-07,Sunday,2024-07-07,Most deprived,67,4.2706,108.7143,6.9294
2024-07-06,Saturday,2024-07-07,Least deprived,83,5.4826,134.5714,8.8892
2024-07-06,Saturday,2024-07-07,Mid-range deprivation,99,4.9372,157.7143,7.8653
2024-07-06,Saturday,2024-07-07,Most deprived,66,4.2068,112,7.1389
2024-07-05,Friday,2024-07-07,Least deprived,98,6.4734,135.8571,8.9741
2024-07-05,Friday,2024-07-07,Mid-range deprivation,153,7.6302,159.5714,7.9579
2024-07-05,Friday,2024-07-07,Most deprived,85,5.4179,115.7143,7.3756
2024-07-04,Thursday,2024-07-07,Least deprived,144,9.512,136.4286,9.0118
2024-07-04,Thursday,2024-07-07,Mid-range deprivation,126,6.2837,153.2857,7.6444
2024-07-04,Thursday,2024-07-07,Most deprived,108,6.8839,113.2857,7.2208
2024-07-03,Wednesday,2024-07-07,Least deprived,153,10.1065,133,8.7854
2024-07-03,Wednesday,2024-07-07,Mid-range deprivation,151,7.5305,159.2857,7.9437
2024-07-03,Wednesday,2024-07-07,Most deprived,130,8.2862,113.5714,7.239
2024-07-02,Tuesday,2024-07-07,Least deprived,156,10.3046,133.2857,8.8042
2024-07-02,Tuesday,2024-07-07,Mid-range deprivation,172,8.5777,167.4286,8.3498
2024-07-02,Tuesday,2024-07-07,Most deprived,121,7.7125,114.8571,7.321
2024-07-01,Monday,2024-07-07,Least deprived,198,13.079,136.8571,9.0402
2024-07-01,Monday,2024-07-07,Mid-range deprivation,228,11.3705,175.5714,8.7558
2024-07-01,Monday,2024-07-07,Most deprived,184,11.7282,121.2857,7.7307
2024-06-30,Sunday,2024-06-30,Least deprived,110,7.2661,135.8571,8.9741
2024-06-30,Sunday,2024-06-30,Mid-range deprivation,175,8.7273,177.2857,8.8413
2024-06-30,Sunday,2024-06-30,Most deprived,90,5.7366,119.5714,7.6215
2024-06-29,Saturday,2024-06-30,Least deprived,92,6.0771,141.2857,9.3327
2024-06-29,Saturday,2024-06-30,Mid-range deprivation,112,5.5855,174.5714,8.706
2024-06-29,Saturday,2024-06-30,Most deprived,92,5.8641,118,7.5213
2024-06-28,Friday,2024-06-30,Least deprived,102,6.7377,142.1429,9.3893
2024-06-28,Friday,2024-06-30,Mid-range deprivation,109,5.4359,175.8571,8.7701
2024-06-28,Friday,2024-06-30,Most deprived,68,4.3343,115,7.3301
2024-06-27,Thursday,2024-06-30,Least deprived,120,7.9267,148.4286,9.8045
2024-06-27,Thursday,2024-06-30,Mid-range deprivation,168,8.3783,187.8571,9.3685
2024-06-27,Thursday,2024-06-30,Most deprived,110,7.0114,122.5714,7.8127
2024-06-26,Wednesday,2024-06-30,Least deprived,155,10.2386,161.1429,10.6444
2024-06-26,Wednesday,2024-06-30,Mid-range deprivation,208,10.3731,196.2857,9.7889
2024-06-26,Wednesday,2024-06-30,Most deprived,139,8.8599,128.5714,8.1951
2024-06-25,Tuesday,2024-06-30,Least deprived,181,11.956,173.2857,11.4465
