case_date,case_weekday,case_week_ending,ethnicity_mpao,cases,cases_per_100k,cases_mean7,cases_per_100k_mean7
2024-07-15,Monday,2024-07-21,Maori,42,5.2367,37.4286,4.6667
2024-07-15,Monday,2024-07-21,Pacific peoples,23,5.8828,17.5714,4.4943
2024-07-15,Monday,2024-07-21,Asian,49,5.8749,33.5714,4.0251
2024-07-15,Monday,2024-07-21,European or Other,326,10.2924,232.7143,7.3472
2024-07-14,Sunday,2024-07-14,Maori,18,2.2443,40.8571,5.0942
2024-07-14,Sunday,2024-07-14,Pacific peoples,8,2.0462,16,4.0924
2024-07-14,Sunday,2024-07-14,Asian,21,2.5178,34.8571,4.1792
2024-07-14,Sunday,2024-07-14,European or Other,185,5.8408,235.2857,7.4284
2024-07-13,Saturday,2024-07-14,Maori,25,3.1171,42.1429,5.2545
2024-07-13,Saturday,2024-07-14,Pacific peoples,8,2.0462,16.8571,4.3116
2024-07-13,Saturday,2024-07-14,Asian,17,2.0382,37.4286,4.4875
2024-07-13,Saturday,2024-07-14,European or Other,123,3.8833,235,7.4193
2024-07-12,Friday,2024-07-14,Maori,41,5.112,41.8571,5.2189
2024-07-12,Friday,2024-07-14,Pacific peoples,20,5.1155,18.1429,4.6405
2024-07-12,Friday,2024-07-14,Asian,35,4.1964,37.8571,4.5389
2024-07-12,Friday,2024-07-14,European or Other,197,6.2196,244.2857,7.7125
2024-07-11,Thursday,2024-07-14,Maori,33,4.1146,42.1429,5.2545
2024-07-11,Thursday,2024-07-14,Pacific peoples,18,4.6039,17.5714,4.4943
2024-07-11,Thursday,2024-07-14,Asian,32,3.8367,38,4.5561
2024-07-11,Thursday,2024-07-14,European or Other,235,7.4193,250.8571,7.92
2024-07-10,Wednesday,2024-07-14,Maori,58,7.2316,44.7143,5.5751
2024-07-10,Wednesday,2024-07-14,Pacific peoples,28,7.1617,17,4.3482
2024-07-10,Wednesday,2024-07-14,Asian,44,5.2754,40.7143,4.8815
2024-07-10,Wednesday,2024-07-14,European or Other,287,9.0611,254.7143,8.0418
2024-07-09,Tuesday,2024-07-14,Maori,45,5.6108,45.8571,5.7176
2024-07-09,Tuesday,2024-07-14,Pacific peoples,18,4.6039,16.1429,4.1289
2024-07-09,Tuesday,2024-07-14,Asian,37,4.4362,40,4.7958
2024-07-09,Tuesday,2024-07-14,European or Other,276,8.7138,258.2857,8.1545
2024-07-08,Monday,2024-07-14,Maori,66,8.2291,46.8571,5.8423
2024-07-08,Monday,2024-07-14,Pacific peoples,12,3.0693,17.2857,4.4212
2024-07-08,Monday,2024-07-14,Asian,58,6.954,43,5.1555
2024-07-08,Monday,2024-07-14,European or Other,344,10.8606,264.7143,8.3575
2024-07-07,Sunday,2024-07-07,Maori,27,3.3665,49.8571,6.2164
2024-07-07,Sunday,2024-07-07,Pacific peoples,14,3.5808,19.5714,5.0059
2024-07-07,Sunday,2024-07-07,Asian,39,4.676,43.1429,5.1727
2024-07-07,Sunday,2024-07-07,European or Other,183,5.7776,279,8.8085
2024-07-06,Saturday,2024-07-07,Maori,23,2.8677,51.4286,6.4123
2024-07-06,Saturday,2024-07-07,Pacific peoples,17,4.3482,19.5714,5.0059
2024-07-06,Saturday,2024-07-07,Asian,20,2.3979,42.8571,5.1384
2024-07-06,Saturday,2024-07-07,European or Other,188,5.9355,294.1429,9.2866
2024-07-05,Friday,2024-07-07,Maori,43,5.3614,53.7143,6.6973
2024-07-05,Friday,2024-07-07,Pacific peoples,16,4.0924,18.7143,4.7866
2024-07-05,Friday,2024-07-07,Asian,36,4.3163,44.8571,5.3782
2024-07-05,Friday,2024-07-07,European or Other,243,7.6719,298.4286,9.4219
2024-07-04,Thursday,2024-07-07,Maori,51,6.3589,51.4286,6.4123
2024-07-04,Thursday,2024-07-07,Pacific peoples,14,3.5808,17.8571,4.5674
2024-07-04,Thursday,2024-07-07,Asian,51,6.1147,44.2857,5.3097
2024-07-04,Thursday,2024-07-07,European or Other,262,8.2718,294.1429,9.2866
2024-07-03,Wednesday,2024-07-07,Maori,66,8.2291,50.5714,6.3054
2024-07-03,Wednesday,2024-07-07,Pacific peoples,22,5.627,17.2857,4.4212
2024-07-03,Wednesday,2024-07-07,Asian,39,4.676,43.2857,5.1898
2024-07-03,Wednesday,2024-07-07,European or Other,312,9.8504,300.1429,9.476
2024-07-02,Tuesday,2024-07-07,Maori,52,6.4835,49.2857,6.1451
2024-07-02,Tuesday,2024-07-07,Pacific peoples,26,6.6501,17.5714,4.4943
2024-07-02,Tuesday,2024-07-07,Asian,58,6.954,45.1429,5.4125
2024-07-02,Tuesday,2024-07-07,European or Other,321,10.1345,309.1429,9.7602
2024-07-01,Monday,2024-07-07,Maori,87,10.8475,53.1429,6.626
2024-07-01,Monday,2024-07-07,Pacific peoples,28,7.1617,18.4286,4.7136
2024-07-01,Monday,2024-07-07,Asian,59,7.0739,44.7143,5.3611
2024-07-01,Monday,2024-07-07,European or Other,444,14.0178,323.2857,10.2067
2024-06-30,Sunday,2024-06-30,Maori,38,4.738,51,6.3589
2024-06-30,Sunday,2024-06-30,Pacific peoples,14,3.5808,19.4286,4.9693
2024-06-30,Sunday,2024-06-30,Asian,37,4.4362,46.2857,5.5495
2024-06-30,Sunday,2024-06-30,European or Other,289,9.1242,322.2857,10.1751
2024-06-29,Saturday,2024-06-30,Maori,39,4.8627,52,6.4835
2024-06-29,Saturday,2024-06-30,Pacific peoples,11,2.8135,20,5.1155
2024-06-29,Saturday,2024-06-30,Asian,34,4.0765,47,5.6351
2024-06-29,Saturday,2024-06-30,European or Other,218,6.8826,322,10.1661
2024-06-28,Friday,2024-06-30,Maori,27,3.3665,51.1429,6.3767
2024-06-28,Friday,2024-06-30,Pacific peoples,10,2.5577,19.8571,5.0789
2024-06-28,Friday,2024-06-30,Asian,32,3.8367,46.2857,5.5495
2024-06-28,Friday,2024-06-30,European or Other,213,6.7248,323.2857,10.2067
2024-06-27,Thursday,2024-06-30,Maori,45,5.6108,54.7143,6.822
2024-06-27,Thursday,2024-06-30,Pacific peoples,10,2.5577,21,5.3713
2024-06-27,Thursday,2024-06-30,Asian,44,5.2754,48.7143,5.8407
2024-06-27,Thursday,2024-06-30,European or Other,304,9.5978,342,10.7975
2024-06-26,Wednesday,2024-06-30,Maori,57,7.107,57.4286,7.1604
2024-06-26,Wednesday,2024-06-30,Pacific peoples,24,6.1386,23,5.8828
2024-06-26,Wednesday,2024-06-30,Asian,52,6.2346,50.4286,6.0462
2024-06-26,Wednesday,2024-06-30,European or Other,375,11.8394,362,11.4289
2024-06-25,Tuesday,2024-06-30,Maori,79,9.85,60.5714,7.5523
2024-06-25,Tuesday,2024-06-30,Pacific peoples,32,8.1848,24.2857,6.2117000000000004
2024-06-25,Tuesday,2024-06-30,Asian,55,6.5943,53.2857,6.3888
