death_date,death_weekday,death_week_ending,ethnicity_mpao,deaths,deaths_per_100k,deaths_mean7,deaths_per_100k_mean7
2025-01-11,Saturday,2025-01-12,Maori,0,0,0.1429,0.0221
2025-01-11,Saturday,2025-01-12,Pacific peoples,0,0,0,0
2025-01-11,Saturday,2025-01-12,Asian,0,0,0.1429,0.0239
2025-01-11,Saturday,2025-01-12,European or Other,2,0.0706,1.2857,0.0454
2025-01-10,Friday,2025-01-12,Maori,0,0,0.2857,0.0441
2025-01-10,Friday,2025-01-12,Pacific peoples,0,0,0.1429,0.0497
2025-01-10,Friday,2025-01-12,Asian,1,0.1672,0.1429,0.0239
2025-01-10,Friday,2025-01-12,European or Other,0,0,1.1429,0.0403
2025-01-09,Thursday,2025-01-12,Maori,0,0,0.2857,0.0441
2025-01-09,Thursday,2025-01-12,Pacific peoples,0,0,0.1429,0.0497
2025-01-09,Thursday,2025-01-12,Asian,0,0,0,0
2025-01-09,Thursday,2025-01-12,European or Other,0,0,1.2857,0.0454
2025-01-08,Wednesday,2025-01-12,Maori,0,0,0.2857,0.0441
2025-01-08,Wednesday,2025-01-12,Pacific peoples,0,0,0.1429,0.0497
2025-01-08,Wednesday,2025-01-12,Asian,0,0,0,0
2025-01-08,Wednesday,2025-01-12,European or Other,2,0.0706,1.2857,0.0454
2025-01-07,Tuesday,2025-01-12,Maori,1,0.1544,0.2857,0.0441
2025-01-07,Tuesday,2025-01-12,Pacific peoples,0,0,0.1429,0.0497
2025-01-07,Tuesday,2025-01-12,Asian,0,0,0,0
2025-01-07,Tuesday,2025-01-12,European or Other,1,0.0353,1.1429,0.0403
2025-01-06,Monday,2025-01-12,Maori,0,0,0.1429,0.0221
2025-01-06,Monday,2025-01-12,Pacific peoples,0,0,0.1429,0.0497
2025-01-06,Monday,2025-01-12,Asian,0,0,0,0
2025-01-06,Monday,2025-01-12,European or Other,4,0.1412,1.2857,0.0454
2025-01-05,Sunday,2025-01-05,Maori,0,0,0.1429,0.0221
2025-01-05,Sunday,2025-01-05,Pacific peoples,0,0,0.1429,0.0497
2025-01-05,Sunday,2025-01-05,Asian,0,0,0,0
2025-01-05,Sunday,2025-01-05,European or Other,0,0,1.1429,0.0403
2025-01-04,Saturday,2025-01-05,Maori,1,0.1544,0.1429,0.0221
2025-01-04,Saturday,2025-01-05,Pacific peoples,1,0.3482,0.1429,0.0497
2025-01-04,Saturday,2025-01-05,Asian,0,0,0.1429,0.0239
2025-01-04,Saturday,2025-01-05,European or Other,1,0.0353,1.1429,0.0403
